시도,시군구_통합,2014년 11월,2014년 12월,2015년 1월,2015년 2월,2015년 3월,2015년 4월,2015년 5월,2015년 6월,2015년 7월,2015년 8월,2015년 9월,2015년 10월,2015년 11월,2015년 12월,2016년 1월,2016년 2월,2016년 3월,2016년 4월,2016년 5월,2016년 6월,2016년 7월,2016년 8월,2016년 9월,2016년 10월,2016년 11월,2016년 12월,2017년 1월,2017년 2월,2017년 3월,2017년 4월,2017년 5월,2017년 6월,2017년 7월,2017년 8월,2017년 9월,2017년 10월,2017년 11월,2017년 12월,2018년 1월,2018년 2월,2018년 3월,2018년 4월,2018년 5월,2018년 6월,2018년 7월,2018년 8월,2018년 9월,2018년 10월,2018년 11월,2018년 12월,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월
서울특별시,금천구,75.774,75.901,75.901,76.067,76.346,76.58,76.862,76.931,77.169,77.647,77.727,77.727,78.021,78.147,78.234,78.279,78.279,78.442,78.507,78.551,78.8,79.03,79.03,79.341,79.425,79.561,79.628,79.673,79.809,80.019,80.373,80.489,80.825,80.884,80.976,81.275,81.535,81.983,81.983,82.22,82.325,82.325,82.497,82.984,83.338,83.686,84.203,84.533,84.794,85.047,85.283,85.222,86.008,86.297,86.494,86.879,87.105,87.414,87.678,87.944,88.716,88.988,89.298,89.58,89.848,90.046,90.314,90.734,91.041,91.474,91.87,92.238,92.582,92.819,93.166,93.601,93.994,94.242,94.569,94.882,95.017,95.384,95.717,96.042,96.375,96.721,97.083,97.423,97.803,98.143,98.424,98.753,99.165,99.353,99.674,99.673,99.595,99.448,99.314,99.253,99.118,99.023,98.893,98.857,98.884,99.005,99.278,99.503,99.727,100.0,100.113,100.259,100.432,100.636,100.791,100.865,100.993,101.145,101.267,101.363,101.474,101.549,101.665,101.786,101.915,102.08,102.19,102.385,102.528,102.708,102.879
서울특별시,노원구,75.177,75.262,75.35,75.478,75.665,75.953,76.229,76.375,76.439,76.603,76.693,76.86,76.992,77.133,77.305,77.45,77.624,77.693,77.81,78.013,78.241,78.479,78.764,78.981,79.093,79.328,79.468,79.535,79.86,80.153,80.512,80.876,81.246,81.459,81.706,81.891,82.225,82.469,82.611,82.844,83.024,83.344,83.459,83.702,83.92,84.265,84.613,85.002,85.403,85.831,86.141,86.415,86.636,86.852,87.179,87.397,88.023,88.335,88.686,88.989,89.332,89.765,90.1,90.421,90.696,90.882,91.031,91.351,91.731,92.148,92.522,92.898,93.305,93.646,93.949,94.304,94.626,95.084,95.493,95.832,96.203,96.54,96.938,97.231,97.544,97.79,97.99,98.191,98.387,98.61,98.898,99.073,99.294,99.55,99.629,99.628,99.556,99.466,99.47,99.474,99.382,99.258,99.196,99.174,99.151,99.211,99.419,99.629,99.802,100.0,100.119,100.255,100.349,100.505,100.637,100.794,100.949,101.116,101.301,101.486,101.623,101.807,101.924,102.076,102.223,102.382,102.527,102.659,102.83,102.995,103.145
서울특별시,도봉구,79.199,79.3,79.47,79.493,79.658,79.68,79.906,79.919,80.003,80.018,80.021,80.22,80.469,80.633,80.738,80.837,80.88,80.988,81.223,81.308,81.384,81.54,81.856,81.951,82.107,82.205,82.329,82.499,82.756,82.983,83.398,83.649,84.073,84.355,84.578,84.791,84.868,85.084,85.255,85.276,85.592,85.89,86.032,86.307,86.51,86.829,87.291,87.817,88.224,88.558,88.837,88.986,89.139,89.48,89.992,90.167,90.484,90.76,91.016,91.335,91.675,91.924,92.119,92.205,92.39,92.487,92.745,92.938,93.206,93.496,93.702,93.951,94.217,94.568,94.864,95.141,95.479,95.822,96.191,96.49,96.896,97.167,97.434,97.712,98.014,98.282,98.52,98.695,98.93,99.205,99.403,99.602,99.8,100.032,100.115,100.028,99.903,99.83,99.727,99.645,99.544,99.463,99.349,99.34,99.357,99.416,99.503,99.677,99.848,100.0,100.098,100.22,100.296,100.408,100.452,100.589,100.736,100.879,101.013,101.13,101.239,101.391,101.509,101.615,101.725,101.897,102.041,102.135,102.265,102.385,102.538
서울특별시,동대문구,72.915,72.955,72.978,73.05,73.172,73.258,73.4,73.497,73.651,73.755,73.937,74.117,74.235,74.417,74.561,74.626,74.773,74.881,75.021,75.229,75.463,75.641,75.816,75.957,76.168,76.335,76.46,76.577,76.837,77.026,77.365,77.61,77.918,78.242,78.434,78.596,78.812,79.017,79.181,79.382,79.637,79.88,80.254,80.551,80.994,81.483,82.001,82.543,83.019,83.5,83.798,84.073,84.463,84.826,85.225,85.527,85.972,86.385,86.766,87.244,87.665,88.091,88.499,88.846,89.182,89.402,89.661,89.929,90.308,90.577,90.893,91.165,91.507,91.834,92.199,92.606,92.994,93.382,93.8,94.234,94.663,95.025,95.405,95.812,96.267,96.717,97.1,97.371,97.687,98.108,98.528,98.976,99.357,99.674,99.832,99.716,99.475,99.288,99.092,98.936,98.835,98.737,98.719,98.727,98.798,98.95,99.195,99.518,99.769,100.0,100.168,100.31,100.505,100.734,100.961,101.248,101.584,101.894,102.149,102.416,102.66,102.906,103.122,103.36,103.59,103.873,104.15,104.422,104.696,104.95,105.229
서울특별시,동작구,73.016,73.149,73.246,73.298,73.404,73.442,73.522,73.611,73.787,74.012,74.242,74.396,74.438,74.63,74.782,74.857,74.97,75.051,75.137,75.273,75.407,75.627,75.822,75.946,76.052,76.23,76.296,76.423,76.696,76.857,77.174,77.609,77.935,78.173,78.278,78.373,78.584,78.846,79.308,79.614,80.171,80.579,81.28,81.676,82.01,82.464,82.892,83.235,83.629,83.871,84.349,84.64,84.798,85.101,85.246,85.494,85.849,86.308,86.585,86.942,87.276,87.642,88.079,88.544,88.836,89.126,89.476,89.822,90.227,90.52,90.879,91.226,91.54,91.873,92.313,92.722,93.18,93.673,94.169,94.676,95.11,95.509,95.706,95.93,96.137,96.324,96.622,96.856,97.149,97.44,97.75,98.068,98.381,98.706,98.941,98.922,98.858,98.798,98.742,98.725,98.724,98.762,98.982,99.109,99.225,99.325,99.44,99.642,99.825,100.0,100.122,100.261,100.457,100.69,100.919,101.17,101.445,101.693,101.918,102.096,102.263,102.425,102.602,102.774,102.987,103.256,103.466,103.709,103.955,104.225,104.496
서울특별시,마포구,67.617,67.772,67.86,67.988,68.292,68.514,68.592,68.843,69.09,69.303,69.537,69.769,69.951,70.307,70.495,70.63,70.807,70.982,71.262,71.44,71.683,71.915,72.112,72.324,72.545,72.823,72.978,73.299,73.683,74.018,74.336,74.742,75.139,75.458,75.751,75.982,76.257,76.551,77.085,77.598,78.095,78.454,78.911,79.452,79.99,80.531,81.133,81.707,82.195,82.729,83.038,83.281,83.526,83.799,84.196,84.612,85.056,85.422,85.807,86.162,86.661,87.088,87.665,88.085,88.427,88.741,89.081,89.397,89.715,90.052,90.335,90.658,91.03,91.335,91.639,91.962,92.339,92.712,93.157,93.565,94.002,94.415,94.868,95.302,95.745,96.189,96.533,96.842,97.187,97.553,97.949,98.343,98.77,99.152,99.265,99.289,99.252,99.175,99.102,99.069,99.045,99.026,99.016,99.038,99.089,99.191,99.416,99.617,99.819,100.0,100.156,100.287,100.498,100.719,100.974,101.183,101.481,101.699,102.01,102.286,102.585,102.845,103.035,103.282,103.506,103.844,104.143,104.493,104.764,105.243,105.847
서울특별시,서대문구,73.432,73.553,73.615,73.661,73.733,74.076,74.181,74.365,74.595,74.674,74.936,75.249,75.368,75.817,75.93,75.914,76.051,76.157,76.373,76.66,76.887,77.095,77.387,77.496,77.707,77.845,77.967,78.091,78.216,78.328,78.62,78.929,79.298,79.576,79.82,80.047,80.253,80.502,80.832,81.186,81.5,81.729,82.134,82.56,82.91,83.371,84.027,84.644,84.878,85.12,85.325,85.599,85.822,85.995,86.289,86.572,87.021,87.473,87.931,88.308,88.616,89.074,89.405,89.741,89.918,90.217,90.459,90.83,91.103,91.489,91.852,92.285,92.706,93.084,93.548,93.916,94.283,94.682,95.084,95.523,95.841,96.242,96.575,96.985,97.365,97.658,97.937,98.268,98.607,98.943,99.243,99.61,99.922,100.26,100.349,100.295,99.921,99.703,99.402,99.277,99.172,99.087,99.039,99.049,99.071,99.199,99.476,99.685,99.851,100.0,100.146,100.263,100.468,100.636,100.846,101.079,101.353,101.663,101.966,102.229,102.441,102.607,102.832,103.019,103.139,103.297,103.459,103.671,103.869,104.12,104.359
서울특별시,서초구,68.994,69.121,69.241,69.392,69.644,69.784,70.02,70.151,70.258,70.43,70.534,70.692,70.825,71.011,71.197,71.31,71.418,71.695,71.913,72.08,72.217,72.405,72.592,72.794,72.953,73.06,73.183,73.197,73.509,73.771,74.158,74.527,74.796,75.109,75.337,75.544,75.955,76.248,76.511,76.905,77.228,77.4,77.69,78.019,78.63,79.031,79.58,80.143,80.634,81.021,81.291,81.449,81.669,81.944,82.199,82.598,83.129,83.596,84.0,84.402,84.613,85.04,85.478,85.858,86.171,86.455,86.733,87.019,87.354,87.752,88.105,88.468,88.977,89.443,89.919,90.335,90.778,91.219,91.612,92.061,92.51,92.949,93.377,93.845,94.3,94.772,95.233,95.649,96.092,96.509,96.929,97.391,97.797,98.212,98.506,98.608,98.639,98.672,98.69,98.702,98.711,98.732,98.777,98.841,98.912,99.078,99.274,99.532,99.799,100.0,100.166,100.322,100.612,100.935,101.248,101.574,101.939,102.253,102.623,103.054,103.433,103.846,104.234,104.611,104.987,105.344,105.739,106.15,106.594,107.038,107.487
서울특별시,성동구,73.094,73.301,73.391,73.425,73.526,73.644,73.737,73.801,74.001,74.118,74.283,74.45,74.654,74.814,74.882,74.998,75.146,75.246,75.448,75.594,75.786,75.932,76.101,76.306,76.455,76.583,76.696,76.907,77.067,77.328,77.649,78.015,78.338,78.646,78.863,79.038,79.261,79.495,79.72,79.958,80.322,80.532,80.932,81.305,81.673,82.218,82.725,83.208,83.949,84.256,84.578,84.934,85.215,85.553,86.05,86.217,86.497,86.802,87.051,87.281,87.524,87.774,88.004,88.378,88.573,88.735,88.953,89.279,89.625,89.986,90.312,90.579,90.883,91.194,91.515,91.831,92.148,92.49,92.85,93.237,93.611,94.002,94.403,94.776,95.245,95.714,96.129,96.47,96.825,97.207,97.539,97.909,98.293,98.667,98.99,99.053,99.062,99.068,99.065,99.062,99.098,99.126,99.183,99.236,99.297,99.354,99.491,99.67,99.841,100.0,100.122,100.249,100.395,100.542,100.718,100.89,101.088,101.295,101.511,101.722,101.963,102.182,102.389,102.605,102.871,103.15,103.447,103.708,103.996,104.306,104.666
서울특별시,성북구,75.92,76.022,76.115,76.217,76.302,76.426,76.526,76.626,76.803,76.927,77.106,77.237,77.445,77.584,77.673,77.733,77.888,78.083,78.312,78.485,78.625,78.751,78.904,79.015,79.048,79.089,79.272,79.465,79.651,79.866,80.098,80.395,80.565,80.784,81.095,81.187,81.492,81.568,81.794,82.14,82.364,82.464,82.79,83.01,83.645,84.024,84.611,85.105,85.589,85.846,86.118,86.297,86.542,86.78,87.129,87.416,87.704,87.949,88.296,88.637,89.115,89.66,90.015,90.316,90.542,90.749,90.943,91.218,91.646,91.957,92.321,92.704,93.078,93.503,93.861,94.283,94.663,95.071,95.429,95.774,96.142,96.522,96.909,97.293,97.65,98.0,98.277,98.575,98.866,99.179,99.518,99.865,100.227,100.533,100.577,100.499,100.157,99.901,99.655,99.449,99.357,99.262,99.202,99.199,99.229,99.338,99.447,99.654,99.838,100.0,100.128,100.286,100.446,100.631,100.799,100.986,101.164,101.397,101.608,101.785,101.965,102.146,102.313,102.478,102.641,102.822,102.982,103.173,103.371,103.552,103.804
